dataset,subset,target_layer,training_dataset,validation_dataset,test_dataset,model_name,n_features,degree,activation,batch_size,num_epochs_overfit,overfitting_target,overfitting_prediction,num_epochs_training,loss,leaning_rate,training_loss,val_loss,mae-train,mse-train,rmse-train,rmspe-train,mae-val,mse-val,rmse-val,rmspe-val,mae-test,mse-test,rmse-test,rmspe-test
LayerWiseDatasetv2,pretrained,conv,1724,353,428,GRN,5,,,64,3000,1.860670815733744,1.877508521080017,500,mse,0.0001,0.4479224383831024,0.9832193851470947,0.4769211177970599,0.4102398132425809,0.6404996590495431,0.27226183326203895,0.7503360930085935,0.9832193042406857,0.9915741546857127,0.3389854967776649,0.6310403474339182,0.6648542403195457,0.8153859456230195,0.3453383877928436
LayerWiseDatasetv2,pretrained,conv,1724,353,428,ResidualMLP,5,,,64,3000,1.860670815733744,1.861926794052124,500,mse,0.0001,2.282348871231079,11.446602821350098,1.0343251392977766,2.2672032793286396,1.505723506932345,0.5113011677246144,1.9845037161841028,11.446602519234833,3.383282802136829,0.9518201184523235,1.2051284970355145,3.625250668495663,1.9040091040999942,0.680781669681793
LayerWiseDataset,pretrained,conv,1603,401,501,ResidualMLP,5,,,64,3000,4.653479149766842,4.653478622436523,5000,mse,0.0001,0.5760650634765625,0.609329104423523,0.5925166240385225,0.5772253369287141,0.7597534711527906,0.29669145895944427,0.6065314878083656,0.6093290318086877,0.7805953060380825,0.2962972146098147,0.599871707771235,0.5855369975469776,0.7652038927939256,0.2910615096306505
LayerWiseDatasetv2,pretrained,dense,21,0,7,PolynomialRegression,3,1,,,,2.9901744427712957,2.9901744427712957,,,,,,0.220775765840744,0.08383701807684042,0.2895462278753436,0.0901034355016407,,,,,0.18665842621940312,0.0551414033500522,0.23482206742564082,0.040051361097611385
LayerWiseDatasetv2,pretrained,dense,21,0,7,PolynomialRegression,3,2,,,,3.0112262581284845,3.0112262581284845,,,,,,0.1442625120301168,0.03017627169843385,0.17371318803831173,0.05376373500654105,,,,,0.2501100474814201,0.16021989628214597,0.40027477597538663,0.08241175151637958
LayerWiseDatasetv2,pretrained,dense,21,0,7,PolynomialRegression,3,3,,,,3.0721934385694394,3.0721934385694394,,,,,,0.13464357225130547,0.028447690375926878,0.16866443127087252,0.052378740137634966,,,,,0.23900225331762076,0.15926015708627436,0.3990741248017395,0.08094561602796692
LayerWiseDatasetv2,pretrained,dense,21,0,7,PolynomialRegression,3,4,,,,3.1825540185451913,3.1825540185451913,,,,,,0.13146024479863513,0.02766831246370421,0.16633794655370798,0.051785119830412986,,,,,0.23614953635242758,0.15814167299965312,0.3976703069122123,0.08008377809545567
LayerWiseDatasetv2,pretrained,conv,2077,0,428,PolynomialRegression,5,1,,,,1.7252215173563428,1.7252215173563428,,,,,,0.6248006486245877,0.6505716387534514,0.8065802122253256,0.2860658644223059,,,,,0.7856957710324761,0.8324848247150103,0.9124060635018875,0.36433646777883383
LayerWiseDatasetv2,pretrained,conv,2077,0,428,PolynomialRegression,5,2,,,,2.889112605174038,2.889112605174038,,,,,,0.49964440202013916,0.4255441029750882,0.6523374149740977,0.22898132379986164,,,,,0.6121611787497158,0.6226631247660037,0.7890900612515682,0.3001957991536208
LayerWiseDatasetv2,pretrained,conv,2077,0,428,PolynomialRegression,5,3,,,,2.43549944695635,2.43549944695635,,,,,,0.3845827923266565,0.27022256742119966,0.5198293637542993,0.1840917390456783,,,,,0.41881418224582695,0.3429247280903503,0.5855977528050721,0.21462310669844242
LayerWiseDatasetv2,pretrained,conv,2077,0,428,PolynomialRegression,5,4,,,,2.888496957381049,2.888496957381049,,,,,,0.7257004787573926,1.1296527467443436,1.0628512345311283,0.3905556531088236,,,,,0.9112184483767911,2.638463680290898,1.6243348424173194,0.5728282223030082
LayerWiseDatasetv2,pretrained,pool,47,0,9,PolynomialRegression,5,1,,,,1.5791126853263378,1.5791126853263378,,,,,,0.09644446473235146,0.019077200908823408,0.13812024076442744,0.07780263745538102,,,,,0.09824125869269748,0.014455056706190985,0.12022918408685548,0.07101911498087887
LayerWiseDatasetv2,pretrained,pool,47,0,9,PolynomialRegression,5,2,,,,1.5394232149526674,1.5394232149526674,,,,,,0.0935616142239178,0.016386277586232564,0.12800889651204936,0.07535295481469842,,,,,0.14497069649028485,0.04565611756588403,0.21367292192948556,0.13908120077613248
LayerWiseDatasetv2,pretrained,pool,47,0,9,PolynomialRegression,5,3,,,,1.556184419527014,1.556184419527014,,,,,,0.05087454521083785,0.008850923038374564,0.09407934437683207,0.05659673723994147,,,,,0.531688863271635,2.037746018174511,1.42749641616871,0.9903197620127681
LayerWiseDatasetv2,pretrained,pool,47,0,9,PolynomialRegression,5,4,,,,1.529360432846467,1.529360432846467,,,,,,0.04689968035604519,0.008703932406290039,0.09329486805977079,0.05596123769052742,,,,,1.134302871066983,10.45894364785222,3.234029011597178,2.243992667471903
LayerWiseDatasetv2,pretrained,dense,1431,0,360,PolynomialRegression,3,1,,,,5.3362863416035955,5.3362863416035955,,,,,,49.34119798600216,9984.216090698883,99.92104928741934,4.2924924427852575,,,,,47.00268787756013,10577.495480560985,102.8469517319837,4.608668489099713
LayerWiseDatasetv2,pretrained,dense,1431,0,360,PolynomialRegression,3,2,,,,55.074235016091,55.074235016091,,,,,,50.08007535795379,9537.637526114713,97.66082902635382,4.491365202790373,,,,,47.57353204372052,10509.574575451772,102.51621615847793,4.900644343972856
LayerWiseDatasetv2,pretrained,dense,1431,0,360,PolynomialRegression,3,3,,,,9.596486914660142,9.596486914660142,,,,,,43.96532499929376,7412.167157717708,86.09394379233483,3.4159216045285663,,,,,41.475609444429274,9128.390106166953,95.54260885158492,3.237296772460117
LayerWiseDatasetv2,pretrained,dense,1431,0,360,PolynomialRegression,3,4,,,,14.170351254505439,14.170351254505439,,,,,,42.955119122056715,7308.506429683308,85.48980307430418,3.4081348982984156,,,,,40.27558008196968,9022.220436464608,94.9853695916619,3.169202271632877
LayerWiseDataset,pretrained,dense,1432,0,359,PolynomialRegression,3,1,,,,16.275085830232154,16.275085830232154,,,,,,47.05232297291724,10002.723838136726,100.01361826339814,4.00192533625083,,,,,49.94576616220189,10437.641088310434,102.16477420476411,4.213063640503898
LayerWiseDataset,pretrained,dense,1432,0,359,PolynomialRegression,3,2,,,,3.036230909580125,3.036230909580125,,,,,,47.92746025721726,9617.485362674002,98.06877873550788,4.194502971902011,,,,,50.5859485531243,10173.54893393316,100.86401208524852,4.458041481529259
LayerWiseDataset,pretrained,dense,1432,0,359,PolynomialRegression,3,3,,,,7.29170079735438,7.29170079735438,,,,,,42.04522346970357,7669.11930639803,87.5735080169684,3.2290625658457865,,,,,45.05549279977149,8142.768588420101,90.23729045367054,3.2467766498021735
LayerWiseDataset,pretrained,dense,1432,0,359,PolynomialRegression,3,4,,,,7.048404586354759,7.048404586354759,,,,,,41.05465629574875,7580.392584371772,87.0654500038435,3.2270847578128783,,,,,43.81998843555932,7996.451786690277,89.42288178475505,3.234052164990803
LayerWiseDataset,pretrained,conv,2004,0,501,PolynomialRegression,6,2,,,,1.7288063231609268,1.7288063231609268,,,,,,0.5119992516240516,0.45532563112261687,0.674778208837998,0.23342535631278336,,,,,0.5084604553882686,0.45395223027248294,0.6737597719309776,0.23210152470830378
LayerWiseDataset,pretrained,conv,2004,0,501,PolynomialRegression,6,3,,,,1.7476363492554823,1.7476363492554823,,,,,,0.38494543485629884,0.28036482805696883,0.529494880104585,0.18480557045755497,,,,,0.38586526773380214,0.2779652338726231,0.5272240831682702,0.18989687509202305
LayerWiseDataset,pretrained,conv,2004,0,501,PolynomialRegression,6,3,,,,2.4363312621173994,2.4363312621173994,,,,,,0.38494543485629884,0.28036482805696883,0.529494880104585,0.18480557045755497,,,,,0.38586526773380214,0.2779652338726231,0.5272240831682702,0.18989687509202305
LayerWiseDataset,pretrained,dense,2004,0,501,PolynomialRegression,6,3,,,,1.7487693842715026,1.7487693842715026,,,,,,0.38494543485629884,0.28036482805696883,0.529494880104585,0.18480557045755497,,,,,0.38586526773380214,0.2779652338726231,0.5272240831682702,0.18989687509202305
LayerWiseDataset,pretrained,dense,2004,0,501,PolynomialRegression,6,3,,,,2.9086366821880074,2.9086366821880074,,,,,,0.38494543485629884,0.28036482805696883,0.529494880104585,0.18480557045755497,,,,,0.38586526773380214,0.2779652338726231,0.5272240831682702,0.18989687509202305
LayerWiseDataset,pretrained,pool,2004,0,501,PolynomialRegression,6,3,,,,4.673848851594548,4.673848851594548,,,,,,0.38494543485629884,0.28036482805696883,0.529494880104585,0.18480557045755497,,,,,0.38586526773380214,0.2779652338726231,0.5272240831682702,0.18989687509202305
LayerWiseDataset,pretrained,pool,44,0,12,PolynomialRegression,6,3,,,,1.4164078428459432,1.4164078428459432,,,,,,0.051263892245601836,0.0092331976379849,0.09608952928381374,0.056917443007455944,,,,,0.34713361488501354,0.30934655313518683,0.556189314114526,0.35065975088481244
